iter	Passed	Remaining
0	2	223
1	4	197
2	5	193
3	7	182
4	9	177
5	10	170
6	12	163
7	13	158
8	15	153
9	16	146
10	17	141
11	18	138
12	20	135
13	21	133
14	23	131
15	24	128
16	25	125
17	26	121
18	27	118
19	28	115
20	29	112
21	31	110
22	32	107
23	33	104
24	34	102
25	35	101
26	36	99
27	37	97
28	39	95
29	40	93
30	41	91
31	42	89
32	43	87
33	44	85
34	44	83
35	45	81
36	46	79
37	47	77
38	48	76
39	50	75
40	51	73
41	51	71
42	52	69
43	53	67
44	54	66
45	55	64
46	55	63
47	56	61
48	57	60
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	63	52
55	64	50
56	65	49
57	67	48
58	68	47
59	69	46
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	76	39
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	84	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
